Title,ReleaseDate
#Alive,12-02-00
1BR,07-18-19
47 Meters Down: Uncaged,08-15-19
A Ghost Story for Christmas: Lot No. 249,12-24-23
A Nightmare on Elm Street,11-09-84
A Nightmare on Elm Street 3: Dream Warriors,02-27-87
A Nightmare on Elm Street Part 2: Freddy's Revenge,11-01-85
A Tale of Two Sisters,06-13-03
A Warning to the Curious,12-24-72
All Cheerleaders Die,10-31-13
Alone in the Dark,10-07-22
Amityville: The Evil Escapes,05-12-89
An American Werewolf in London,08-21-81
Annihilation,02-22-18
Apostle,09-21-18
April Fool's Day,03-25-08
Bad Ben,10-26-21
Basket Case,04-02-82
Black Christmas,12-15-06
Black Roses,05-22-21
Blair Witch,09-15-16
Bleeders,07-31-97
Blood Beach,09-01-80
Blood Quantum,09-05-19
Blood Rage,03-29-87
Bloody Birthday,04-28-81
Bloody New Year,05-11-87
Brainscan,04-22-94
C.H.U.D.,08-31-84
Candyman,10-16-92
Carrie,07-17-52
Cathy's Curse,07-29-77
Censor,06-11-21
Cheerleader Camp,06-01-88
Child's Play,12-12-72
Children of the Corn,09-26-09
Chopping Mall,03-21-86
City of the Living Dead,08-11-80
Cold Prey,10-13-06
Cold Prey II,10-09-08
Communion,11-10-89
Consecration,02-09-23
Crawl,07-11-19
Creep,06-23-14
Critters,04-11-86
Damien - Omen II,06-09-78
Dark Night of the Scarecrow,10-24-81
Darklands,03-01-22
Daughters of Darkness,10-02-71
Dawn of the Dead,03-19-04
Dead Girls,08-04-07
Dead Ringers,09-23-88
Deadstream,10-20-22
Deep Red,03-07-75
Demon Wind,07-05-90
Dial Code Santa Claus,01-17-90
Disturbing Behavior,07-24-98
Doctor Sleep,02-01-02
Don't Breathe,06-08-16
Down,02-01-19
Drag Me to Hell,05-27-09
Enys Men,01-12-23
Equinox,10-01-70
Event Horizon,08-15-97
Evil Dead,04-05-13
Evil Dead II,03-13-87
Evil Dead Rise,04-12-23
Exhuma,02-22-24
Eyes of Fire,10-21-83
Fear Street: 1994,06-28-21
Final Destination,05-14-25
Final Destination 5,08-12-11
Fresh,06-15-94
Friday the 13th Part III,08-13-82
Friday the 13th: The Final Chapter,04-13-84
Frogs,03-10-72
From Beyond the Grave,02-21-74
Funny Man,08-25-11
Gate II,05-24-90
Ghostwatch,10-31-92
Ginger Snaps,12-11-00
Girl on the Third Floor,10-25-19
Hagazussa,05-17-18
Halloween,10-24-78
Halloween Ends,10-12-22
Halloween H20: 20 Years Later,08-05-98
Halloween II,10-30-81
Halloween Kills,10-14-21
Hansel & Gretel,01-01-97
Happy Birthday to Me,05-15-81
Happy Death Day,10-12-17
Haunt,06-27-14
Hell House LLC,10-16-15
Hellbender,09-28-21
Hellbound: Hellraiser II,06-18-15
Hello Mary Lou: Prom Night II,10-16-87
Hellraiser,09-11-87
Hiruko the Goblin,05-11-91
His House,01-27-20
Host,12-04-20
House,11-06-08
Housebound,09-02-00
Hush,03-12-16
I Blame Society,01-27-20
I Still Know What You Did Last Summer,11-13-98
Impetigore,10-17-19
In Fabric,12-06-18
In the Earth,04-16-21
In the Mouth of Madness,02-03-95
Incantation,08-18-21
Infested,10-18-02
Initiation,08-05-16
Intruder,06-24-16
It's a Wonderful Knife,11-10-23
Jack Frost,12-13-79
Jaws 2,06-16-78
Jennifer's Body,09-18-09
Just Before Dawn,10-14-81
Kill List,09-02-11
"Kill, Baby... Kill!",07-08-66
Killer Klowns from Outer Space,05-27-88
Knife+Heart,06-27-18
Kwaidan,12-02-22
Lamb,10-20-15
Late Night with the Devil,03-19-24
Leprechaun,01-08-93
Let's Scare Jessica to Death,08-27-71
Little Nemo: Adventures in Slumberland,07-15-89
Lonely Water,07-04-73
Lost Hearts,12-25-73
Lucky,02-26-20
Ludo,07-17-15
Malum,03-31-23
Midsommar,07-03-19
Moloch,05-19-22
Monolith,04-15-23
Motel Hell,08-14-80
My Bloody Valentine,02-15-19
Needful Things,08-27-93
Night of the Comet,11-16-84
Night of the Creeps,08-21-86
Night of the Lepus,10-04-72
Night of the Living Dead,10-19-90
Nightbreed,02-16-90
Nope,07-20-22
Noroi: The Curse,08-20-05
Oddity,07-19-24
Office Killer,12-03-97
Omen,06-25-76
One Cut of the Dead,11-04-17
Orca,09-01-23
Paganini Horror,06-06-89
Paranormal Activity,11-20-10
Paranormal Activity 3,10-19-11
Pearl,09-16-22
Pet Sematary,04-21-89
Possessor,10-02-20
Prince of Darkness,10-23-87
Prom Night III: The Last Kiss,03-30-90
Psychomania,03-01-73
Rare Exports: A Christmas Tale,12-03-10
Relic,07-03-20
Return of the Living Dead III,10-01-93
Return of the Living Dead Part II,01-15-88
Robin Redbreast,12-10-70
Saw,10-16-03
